订单编号,下单日期,SKU,数量,备注（预期结果）
ORD-2026-0401,2026-03-28,SKU-001,5,有库存85→应判定「有货3天」交货日=3月31日
ORD-2026-0402,2026-03-28,SKU-007,3,零库存→应判定「定制5天」交货日=4月2日
ORD-2026-0403,2026-03-28,SKU-004,10,库存12但低于安全线→「有货3天」但应触发库存预警
ORD-2026-0404,2026-03-28,SKU-009,5,库存3<订单5→「定制5天」
ORD-2026-0405,2026-03-28,SKU-010,2,定制品无库存→「定制5天」
ORD-2026-0406,2026-03-28,SKU-002,8,正常有库存→「有货3天」
ORD-2026-0407,2026-03-28,SKU-005,3,正常有库存→「有货3天」
ORD-2026-0408,2026-03-29,SKU-003,15,周日订单-正常有库存→「有货3天」
ORD-2026-0409,2026-03-29,SKU-011,1,周日订单-定制品→「定制5天」
ORD-2026-0410,2026-03-30,SKU-001,10,周一订单-正常有库存→「有货3天」
